question,answer,category,subcategory,setName,questionNumber,difficulty,setYear
This process is coupled to MAGE (mage) in the name of a technique used in 2011 to engineer a whole synthetic genome lacking a stop codon. The tra(TRAH) protein family forms a relaxosome to nick DNA during this process. Type IV (four) secretion systems are homologous to the proteins used in it. Joshua Lederberg discovered this processs mechanism which requires either an F-positive cell or an Hfr (H-F-R) strain that has the fertility factor chromosomally integrated. This process (*) spreads R factors which encode antibiotic resistance. During this process a pilus forms between two bacteria enabling horizontal gene transfer thats distinct from transduction and transformation. For 10 points name this process often analogized to bacterial sex.,bacterial conjugation [or word forms; prompt on horizontal gene transfer or HGT],Science,Biology,2017 PACE NSC,16,5,2017
This quantity is plotted on log scale on the x-axis of a Bode plot which measures a systems stability to changes in it. Since skin depth of electric current varies with the negative one-half power of permeability times this quantity at high values of it a conductors resistance increases. In RLC circuits when this quantity is large the voltage across the inductor is high and across the capacitor is low. Low-pass filters screen out signals with (*) high values of it. This quantity is represented by the speed at which a phasor rotates. Fourier transforms convert a signal from the time domain to this quantitys domain. An alternating current depends on the sine of this quantity multiplied by time. For 10 points name this quantity which in conventional American power lines is 60 hertz.,angular frequency [or frequency; prompt on f; prompt on omega],Science,Physics,2017 PACE NSC,10,5,2017
5-fluoro·orotic acid is often used as a selection marker when culturing these organisms. The G1 checkpoint is called START during mitosis in these organisms. Bait and fish domains are used to discover protein-protein interactions in these organisms. A shmoo forms during mating in these organisms which only occurs between mating types labelled a and alpha. One of these organisms had its 16 (*) chromosomes fully sequenced in 1996 a first for a eukaryote. Two species of these organisms pombe and cerevisiae(POM-bay and seh-reh-VEE-see-ay) both in the genus Saccharomyces(SACK-ah-roh-MY-seez) reproduce by fission and budding respectively. These organisms generate ethanol and carbon dioxide during fermentation. For 10 points name these unicellular fungi used in breadmaking.,yeasts [or Saccharomyces cerevisiae until Saccharomyces is read; prompt on fungi or word forms],Science,Biology,2017 PACE NSC,4,5,2017
A locomotive passes by one of these animals in a notable diamond-shaped postage stamp from the short-lived Tuvan Peoples Republic. Despite being more commonly used with elephants the name of an object called a howdah derives from its use with these animals which inhabit a reserve around the dried-up lake of Lop Nur. The use of this animals urine in medicine may have helped spread the MERS virus. A train from (*) Darwin to Adelaide is named the Ghan honoring Afghan traders who popularized this animal in Australia which currently has the largest feral population of them. The less common of this animals two species is restricted to the Gobi Desert and is named after Bactria. For 10 points name this animal which stores fat not water in its humps.,camels [or Camelus; accept Camelus dromedarius or Camelus bactrianus],Science,Other Science,2017 PACE NSC,5,5,2017
Mark Burgin discussed inductive types of these things in an article that treats their process of generating words as closely resembling the task of calculating a real number to a desired precision. The Kolmogorov complexity of an input is formally defined as the simplest number of states used to encode that input in these models which are formally defined with a 7-tuple. Treating these things as black boxes or (*) oracles is often done in proofs that make use of polynomial-time reductions. The namesake of these things determined that asking if they halt is undecidable. A head that reads and writes bits on an infinite tape is one component of for 10 points what entities that closely model computers and which are named for a British computer scientist?,Turing machines [prompt on machines or abstract machines or abstract computers],Science,Other Science,2017 PACE NSC,11,5,2017
Hosohedra (HOSE-oh-HEE-dra) are tessellations of these objects by lunes. Extending Girards theorem to polygons named after these figures can be used to prove Eulers Formula. In three dimensions the maximum number of these figures that can touch each other without intersection is the kissing number. The complex plane together with a point at (*) infinity is often modeled as one of these figures named for Riemann. A stereographic projection maps these figures onto a plane. The Kepler problem concerns the densest packing of these figures. Azimuthal and polar angles appear in a coordinate system named for these objects and great circles contain these objects diameters. A ball is the interior of for 10 points what round three-dimensional figures with volume four-thirds pi r-cubed?,spheres [or 2-spheres; accept spherical coordinates; prompt on balls until read; do not accept or prompt on circles],Science,Math,2017 PACE NSC,7,5,2017
The open-cup and closed-cup methods are used to measure the temperature at which this process occurs. This process occurs industrially in an RTO line. Inerting prevents this process by lowering the concentration below the LEL. This process is done to a sample during carbon-nitrogen-hydrogen elemental analysis. The Zeldovich mechanism shows how this process forms (*) NOx (NOCKS) species. This process is isochoric (eye-so-CORE-ick) in an Otto cycle and isobaric in a Diesel cycle. A reactions enthalpy is estimated by subtracting the enthalpy of this process for the products from that of the reactants. Catalytic converters mitigate the incomplete form of this process which makes carbon monoxide. For 10 points name this reaction in which a hydrocarbon is oxidized to water and CO2 in the presence of fire.,combustion [or word forms; or burning; or thermal oxidation; or flashing; or flash point; or explosion; or word forms; prompt on heating; prompt on oxidation or word forms],Science,Chemistry,2017 PACE NSC,3,5,2017
The extent to which this phenomenon is observed is given by e to the negative d times sinh (sinch) d according to a function named for Haldane. A high logarithm of the odds score suggests this effect is present. GWA studies have gradually replaced a method that observes this phenomenon to map quantitative trait or disease loci. This effect names the general disequilibrium in which the frequency of haplotype pAB doesnt (*) equal pA times pB. The extent of this phenomenon decreases as the number of map units or centimorgans increases because it makes recombination more likely. Mendels law of independent assortment explicitly ignores this effect. For 10 points name this effect in which genes close to each other on a chromosome are often inherited together.,gene linkage [or word forms; prompt on genetic recombination],Science,Biology,2017 PACE NSC,20,5,2017
In the absence of circular polarization Jones vectors are depicted with values with this property. In quantum mechanics operators corresponding to observables must have eigenvalues with this property meaning the operators must be self-adjoint and Hermitian. For an AC circuit this property is held by the active power but not the reactive power. This property is not possessed by probability amplitudes but is held by probability densities as they are the square (*) modulus of the amplitudes. For a quantity represented by a phasor the component with this property equals the magnitude of the phasor times the cosine of phase. When reactance is zero impedance has this property and equals resistance. For 10 points name this property held by physical quantities with no imaginary component.,real number [do NOT accept positive or negative],Science,Physics,2017 PACE NSC,5,5,2017
The polar moment of inertia is defined using a ratio of this quantity to the maximum shear stress on a beam. Henry Cavendish calculated big G using a device whose governing equation is that this quantity equals negative kappa theta. This quantity is nonzero in a couple. For a wire loop placed in a field this quantity equals the field strength times the dipole moment times the sine of the angle between them. The rate at which a top (*) precesses equals this quantity divided by the tops angular momentum. The net value for this quantity equals the angular acceleration times the moment of inertia and is calculated by summing the cross product of each force and its distance to the axis. For 10 points name this quantity that causes objects to rotate.,torque [or tau; or moment of force; prompt on moment],Science,Physics,2017 PACE NSC,20,5,2017
Christopher Fairburn advocates the use of 16 to 20 sessions of cognitive behavior therapy to treat these types of conditions. Like alcoholics people who suffer from one of these conditions develop Mallory–Weiss syndrome. Christopher Dare developed a treatment for them at Maudsley Hospital. Gerald Russell identified characteristic incisor marks on the knuckles of patients suffering from these disorders. The DSM-5 removed the requirement of (*) amenorrhea to diagnose one of these since that condition also affects women too old to have their menstrual cycle suppressed. An extreme type of this condition affects people with a BMI below 15; another is divided into purging and non-purging types. For 10 points bulimia and anorexia are what type of disorders?,eating disorders [anti-prompt on anorexia nervosa; anti-prompt on bulimia nervosa],Science,Biology,2017 PACE NSC,9,5,2017
In the Donnan effect this quantity seems larger than it actually is because of an electrostatic potential. The main reason cells store glucose as glycogen is to minimize this quantity. A classic method of determining molecular weights measures this quantity for a polymer solution. This quantity times the volumetric flow rate through an RO membrane gives the power required for industrial (*) desalination. It equals the van t Hoff factor times molarity times RT in the Morse equation and is zero between isotonic solutions. This quantity symbolized uppercase pi is the difference in fluid height between the two halves of a dialysis tube. For 10 points name this colligative property which is the number of pascals required to prevent water from diffusing through a membrane.,osmotic pressure [or uppercase pi until it is read; prompt on pressure; prompt on turgor pressure],Science,Chemistry,2017 PACE NSC,14,5,2017
A model first developed to describe this phenomenon predicts that the fraction of low energy states equals the negative hyperbolic tangent of beta times the splitting energy. This phenomenon only occurs if the density of states at the Fermi level times the Stoner exchange parameter is greater than one. Heisenberg modified a model of this phenomenon that simply defines points in a lattice to be spin-up or spin-down. A graph of this phenomenon has intercepts labelled coercivity and remanence and forms a (*) hysteresis loop with steps for gaussing and degaussing. Below the Curie temperature this phenomenon occurs when domains align in the absence of an external field. For 10 points name this form of permanent magnetism observed in cobalt nickel and iron.,ferromagnetism [or word forms; prompt on magnetism],Science,Physics,2017 PACE NSC,2,5,2017
Wolbachia(wole-BACK-ee-uh) bacteria which were first discovered in these animals cause their males to turn female. The British company Oxitec controversially engineers sterile males of these animals. These animals are by far the most common target of CRISPR (crisper) gene drives such as one proposed in 2016 to protect Hawaiian birds. A new vaccine called RTSS (R-T-S-S) targets sporozoites (spore-uh-ZOH-ites) that originally form in this animals salivary glands but which turn into hypnozoites (hip-no-ZOH-ites) in the (*) human liver and trophozoites (troh-fuh-ZOH-ites) in blood cells. The Asian tiger species of these animals is invasive. These animals are in the genera Aedes and Anopheles the latter of which serves as an intermediate host to Plasmodium falciparum. For 10 points name these vectors that transmit yellow fever Zika (ZEE-kah) and malaria.,mosquitoes [or Anopheles mosquitoes; or Aedes mosquitoes; or specific species names; prompt on insects; prompt on dipterans or similar answers],Science,Biology,2017 PACE NSC,1,5,2017
In Stephen Hubbells neutral theory theta equals two J times rho where rho is the rate of this process. The Bateson–Dobzhansky–Muller model is a mechanism for this process. According to Sewall Wright this process occurs when a peak shifts on a rugged landscape. It was postulated to occur in a ring for Larus gulls. Ernst Mayr (mire) proposed a mechanism for this process that Eldredge and Gould used to theorize (*) punctuated equilibrium. The four mechanisms for this process are classified based on population size and if geography is a factor. This process corresponds to forming a new branch on a phylogenetic tree. For 10 points name this process that has sympatric and allopatric forms and is caused by individuals evolving so they can no longer interbreed.,speciation [or specific types of speciation; prompt on evolution; prompt on reproductive isolation],Science,Biology,2017 PACE NSC,15,5,2017
Gaussian wave packets are usually represented in spaces where these two quantities form the basis and can be interconverted by a Fourier transform. The raising operator for the harmonic oscillator is a linear combination of these two other operators. Hamiltonians are written as functions of generalized versions of these two variables which are symbolized p and q. A relationship between these two quantities is often explained with a microscope focused on (*) electrons passing through a slit. Since the canonical commutator of these two quantities equals i times h-bar the product of their standard deviations must be greater than h-bar over two. For 10 points name these two conjugate variables that cannot be simultaneously measured according to the Heisenberg uncertainty principle.,position AND linear momentum [or coordinate AND linear momentum; or x AND p; either order acceptable; prompt on partial answer; do not accept or prompt on answers involving angular momentum],Science,Physics,2017 PACE NSC,16,5,2017
This compound is made by an enzyme with three binding pockets which are labelled O L and T for open loose and tight. Enzymes named for this compound are classified as P-type V-type E-type or F-type. Amino acids must first react with this compound before they add to tRNA acceptor stems. Firefly luciferase reacts luciferin with this compound and oxygen to make light. Most (*) kinases use this compound as a substrate. The enzyme that makes this compound couples its synthesis to rotation of a central stalk driven by protons moving down an electrochemical gradient. A squiggly line is used to represent this compounds labile P–O bond that stores 30 kilojoules per mole. For 10 points name this compound made by oxidative phosphorylation the energy currency of the cell.,ATP [or adenosine triphosphate],Science,Biology,2017 PACE NSC,3,5,2017
This phenomenons namesake wedge appears red in color due to backscattering from a light source whose zenith angle is in between 10 and 20 degrees. The scientific term for God rays in which rays stream through clouds takes their name from this phenomenon. Animals are classified as matutinal or vespertine depending on whether they are active during this period of time. The nautical definition for this period of time states that it begins or ends when the (*) Sun is 12 degrees below the horizon. The adjective crepuscular refers to this period of time which in the morning occurs after a dawn but before a sunrise. For 10 points name this period of time in which the Sun is not visible but is still illuminating the Earth exemplified by the period immediately preceding dusk.,twilight,Science,Other Science,2017 PACE NSC,10,5,2017
A quantity represented by this letter symbolizes substituent effects and multiplies rho in the Hammett equation. A German word is the origin of using this letter to represent molecular mirror planes. In collision theory the sum of the atomic radii or reaction cross-section is symbolized by this letter. A chemical company named for this letter merged with (*) Aldrich in 1975. Hydrogens two frontier orbitals are both labelled by this letter. The head-on collision of either in-phase or out-of-phase orbitals creates molecular orbitals designated by this letter lying along the bonding axis. A triple bond includes exactly one bond designated by this letter. For 10 points name this Greek letter that names the counterpart to pi bonds.,sigma [or sigma bonds; or sigma orbitals],Science,Chemistry,2017 PACE NSC,9,5,2017
The worm-like chain model was created to explain single-molecule pulling experiments done to this substance. Paul Rothemund made a Sierpiński gasket out of this substance in an example of its origami. This substances linking number the sum of its twist and writhe is a measurement of its degree of supercoil. Firing X-rays at this substance gives a diffraction pattern shaped like an (*) X. The Z-form of this substance is left-handed unlike the more common B- and A-forms. In its native configuration this substance has a major and minor groove. This substance has no 2-prime hydroxyl group on its five-carbon sugar which alternates with phosphate in the backbone. For 10 points name this macromolecule that takes a double-helix structure.,DNA [or deoxyribonucleic acid; or plasmid DNA; prompt on chromatin],Science,Biology,2017 PACE NSC,1,5,2017
This scientist names a set of four matrices that generate the Clifford algebra C-L-sub-1-comma-3-R. During the 1950s while this man was teaching at Florida State University his theory of electromagnetic fields composed of quantum harmonic oscillators was finally renormalized into modern QED. An equation developed by this scientist predicts that the electron g-factor is exactly two and recasts the time-dependent (*) Schrodinger equation to account for relativity. He developed a notation in which left angle bracket psi vertical bar represents the complex conjugate of a wavefunction. This man proposed that a hole in a sea of negative-energy electrons really represents an electron with a positive charge or positron. For 10 points name this British physicist who proposed magnetic monopoles and antimatter.,Paul (Adrien Maurice) Dirac,Science,Physics,2017 PACE NSC,3,5,2017
Cancers of this organ are assessed by the RMI score which depends on the concentration of the biomarker CA-125. Like the pancreas this organ names a disease treated by metformin and clomiphene that causes hirsutism and obesity. Cysts in this organ form from theca lutein (THEE-kah LOO-tee-in) cells that are surrounded by granulosa cells. Testosterone levels are elevated in a (*) polycystic syndrome named for this organ. Breast cancer and cancer of this organ are often caused by BRCA-1 (BURR-kah one) mutations. Surges in FSH and LH around day 14 cause a hole to develop in this organs follicle coincident with its synthesis of progesterone. For 10 points name this female reproductive organ found at one end of the Fallopian tubes where oocytes (OH-uh-sites)are formed.,ovary [or ovarian cancer; or polycystic ovarian syndrome],Science,Biology,2017 PACE NSC,18,5,2017
This quantity changes down the length of the column during chromatofocusing. It is plotted on the x-axis of a speciation diagram. A gradient in this quantity is used to separate proteins in 2D SDS-PAGE before the separation based on size. Molecular biologists use Tris and EDTA to prevent swings in this quantity. Glass (*) electrodes are used to measure this quantity. The solubility of magnesium hydroxide rapidly decreases as this quantity increases due to the common ion effect. The color of bromothymol blue is a function of this quantity. This quantity is equal to the difference between the percent ionization and the pKa according to the Henderson–Hasselbalch equation. For 10 points name this quantity that buffer solutions usually keep near seven.,pH [or power of hydrogen; prompt on isoelectric point or pI],Science,Chemistry,2017 PACE NSC,6,5,2017
Proteins found in this substance include one that is alternatively spliced from the transcript of the Golli gene and a glycoprotein often referred to as its namesake protein zero. Shiverer mice cant make this substance which is deficient in a leuko·dystrophy. The most common sphingo·lipid is named for this substance and forms this substance when mixed with galacto·cerebro·sides and cholesterol. This mixture of 85-percent lipid and 15-percent protein has a (*) dielectric constant of 8 which is very low for biological systems. Saltatory conduction relies on the fact that this material is absent at nodes of Ranvier (ron-vee-AY). Oligodendrocytes and Schwann cells make this substance which is destroyed in patients with multiple sclerosis. For 10 points name this white insulating sheath covering the axons of neurons.,myelin sheath [or sphingomyelin],Science,Biology,2017 PACE NSC,20,5,2017
A normed space named after these objects defines the notion of these objects size. One type of these objects is left-multiplied by A minus lambda I to yield these objects additive identity. According to Helmholtzs theorem a mathematical construct composed of these objects can be uniquely specified by regional divergence curl and a boundary (*) normal component. The basic definition of the Cauchy–Schwarz inequality in an inner product space is defined on these objects. A parallelepiped (para-LEL-uh-PIPE-id) with edges defined by three of these objects has a volume of those three objects box product. Two linearly dependent instances of these objects have a cross product of zero. For 10 points name these mathematical objects that have both magnitude and direction unlike scalars.,vectors [accept vector fields; accept eigenvectors until Helmholtzs is read],Science,Math,2017 PACE NSC,13,5,2017
Senescent cells are detected in culture by the activity of a beta-galactosidase named for these cellular structures. Yoshinori Ohsumi (OH-soo-mee) discovered the APG hydrolases in these structures. The enzymes tartrate-resistant phosphatase and cathepsin localize to this organelle in osteoclasts. An enzyme found in these structures hydrolyzes GalNAc (GALL-nack) from the ganglioside GM2. Multi·vesicular bodies ultimately (*) fuse with these structures in receptor-mediated endocytosis. When it binds the autophagosome this organelle initiates autophagy. Enzyme mutations lead to these organelles storage disorders like Tay–Sachs disease. Enzymes native to this organelle must be tolerant of very low pH. For 10 points name these acidic vesicles that degrade proteins and are often called suicide sacks.,lysosomes [prompt on endosomes; prompt on vacuoles; prompt on vesicles],Science,Biology,2017 PACE NSC,17,5,2017
Paolo Macchiarini (mock-ya-REE-nee) notoriously faked data about autologous stem cell transplants of this organ. The narrowing of this structure to give a steeple sign is symptomatic of croup. This human organ is the namesake of a plant cell similar to a vessel element but without perforation plates in its cell wall. During RSI a patient is anesthetized by a sudden sharp stab into the cricoid ring of cartilage surrounding the top of this structure. Arthropods but not arachnids have (*) spiracles immediately leading to a large network of these structures. During intubation a hole is cut into it. This structure extends between the larynx and the first branching-off point of the bronchi in the respiratory system. For 10 points name this respiratory tube also called the windpipe.,trachea [or windpipe until it is read; prompt on throat],Science,Biology,2017 PACE NSC,13,5,2017
These species increase the absorbance wavelength of an analyte in a bathochromic shift. Ionic liquids and deep eutectics are increasingly being used as these species. Green chemists use high-pressure CO2 as one of these species. Ethyl acetate and dichloromethane are used as these species in organic chemistry which classifies them as protic or aprotic. The chromatographic retardation factor is normalized to the (*) distance traveled by this species. This species is enriched in the raffinate during liquid-liquid extraction. In spectrophotometry the signal from this species is subtracted out as a blank. This species is removed by recrystallization or is boiled away in a rotovap in most chemical syntheses. For 10 points name these compounds that dissolve solutes.,solvents,Science,Chemistry,2017 PACE NSC,10,5,2017
An explosive reaction between these two species nearly killed a lab assistant of Henry Le Châtelier (on-REE luh shot-lee-AY). The biological reaction between these two species requires a cofactor called FeMoco. Gerhard Ertl won a Nobel in 2007 for uncovering the mechanism for how these two species react on a potassium-loaded iron catalyst. Normally these two molecules react exothermically in a (*) 1-to-3 molar ratio at very high temperatures and pressures to give two moles of a gas that is condensed and removed from the reaction driving equilibrium to the right. One of these gases reduces the triple bond in the other to form a trigonal pyramidal compound used in fertilizers. For 10 points name these two simple elemental gases that react in the Haber–Bosch process to form ammonia.,hydrogen AND nitrogen gas [or H2 AND N2; or protons AND nitrogen gas; or H-plus and nitrogen gas; either order acceptable; prompt on partial answer],Science,Chemistry,2017 PACE NSC,8,5,2017
In information retrieval this functions namesake similarity is a common method of quantifying how well documents are related. The Dottie number is this functions unique real fixed point. This function is used in the real parts of both De Moivres formula and Eulers formula. When graphed an analogue of this function forms a catenary curve. The dot product of two vectors multiplies those vectors norms by this function of the (*) angle between them. When a b and c are the sides of a triangle the fact that c-squared equals a-squared plus b-squared minus two-ab times this function of the angle opposite c is known as the law of this function. For 10 points name this function whose reciprocal is secant defined as adjacent over hypotenuse.,cosine [or cos; accept hyperbolic cosine or cosh; accept answers like cosine of x],Science,Math,2017 PACE NSC,18,5,2017
Adoptive cell transfer usually entails transfer of these cells. The zeta chain of a protein expressed by these cells is fused to a single-chain variable fragment to create a chimeric receptor called a CAR (car). FOXP3 governs development of the regulatory type of these cells. These cells receptors undergo VDJ recombination but not somatic hypermutation. Professional APCs like dendritic cells (*) present peptide-protein complexes called MHCs on their surfaces to these cells. Most interleukins are secreted by these cells which are canonically divided into CD4 or CD8 positive. These cells undergo positive selection while maturing in the thymus. For 10 points name these lymphocytes that come in cytotoxic and helper varieties.,T cells [or T lymphocytes; or specific types of T cells],Science,Biology,2017 PACE NSC,2,5,2017
A parameter named for this process equals one-half the Coulomb energy of a sphere over the surface energy of the sphere. The multiplication factor K describing this process is given by the product of six other dimensionless factors including epsilon and eta which describe the fast and thermal types of it respectively. The semi-empirical mass formula predicts that this process occurs when Z-squared over A is greater than about 40. Heavy (*) water moderates the products of this process. This process was found to be self-sustaining in a 1942 experiment led by Enrico Fermi under a football field. It produces two new neutrons in addition to two daughter nuclides. For 10 points name this process in which a nucleus splits in half which powers nuclear reactors.,nuclear fission,Science,Physics,2017 PACE NSC,20,5,2017
The rate of this process is regulated by a 52-residue membrane protein called phospholamban. An irregularity in this process called torsades de pointes(tor-SAHD de PWANNT) is treated by digoxin (dye-GOX-in). Two steps of this process are oddly described as isovolumic rather than isovolumetric. The phases of this process are divided into points labelled P Q R S and T on a diagram where each square represents 40 milliseconds by (*) 0.1 millivolts. Signals during this process are transmitted through the bundle branches to the Purkinje (pur-KIN-jee) fibers. This process is regulated by the sinoatrial node and is normally divided into systolic and diastolic phases. It occurs too quickly in tachy·cardia. For 10 points name this internal process that is regulated by a pacemaker and is measured by taking ones pulse.,heartbeat [or heart contraction; or heart expansion; or electrical heart conduction; or muscle contraction; or obvious equivalents; accept systole or word forms until systolic is read; accept diastole or word forms until diastolic is read; prompt on pulse until it is read],Science,Biology,2017 PACE NSC,10,5,2017
A classic textbook titled for this phenomenon is abbreviated MTW for its three authors. In one theory of this phenomenon integrating the square of Hamiltonian constraints over induced metrics creates a master constraint. Milgrom proposed a theory in which this phenomenon has a force proportional to the square of acceleration. Feynman (FINE-min) hypothesized using beads on a rod to measure the radiation caused by this phenomenon which today is measured using (*) interferometers with four-mile arms. LQG and MOND (mond) are theories of this phenomenon. According to the equivalence principle this phenomenon is indistinguishable from being in a noninertial reference frame. Another theory equates it with spacetime curvature. For 10 points name this fundamental force described by general relativity.,gravity [or gravitation; or gravitational force; or gravitational radiation; or gravity waves; or gravitational waves],Science,Physics,2017 PACE NSC,3,5,2017
Members of this profession were kept at sharashkas a special agency within the Gulag by Lavrentiy Beria. One member of this profession was married to Helsinki Accords activist Yelena Bonner who delivered his 1975 Nobel Lecture Peace Progress and Human Rights. Another person in this general profession headed the agency VASKhNIL (vahkh-NEEL) where he championed Michurinism and vernalization. Igor (*) Kurchatov headed a group of people in this profession whose work culminated with the First Lightning event in Semipalatinsk Kazakhstan. People in this profession included the fraud Trofim Lysenko and the activist Andrei Sakharov. For 10 points name this general profession whose practitioners helped the Soviet Union create its atomic bomb.,scientists [or specific types like physicists or biologists or engineers],Science,Biology,2017 PACE NSC,13,5,2017
